park,team,source_year,spray_zone5,fence_distance_ft,fence_height_ft,distance_source_column,height_source_column,value_method,height_status,usable_for_hr_detector,source_name,source_url,notes
Progressive Field,CLE,2025,center,405.0,9.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CLE08,
Progressive Field,CLE,2025,right_gap,375.0,9.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CLE08,
Progressive Field,CLE,2025,right_line,325.0,13.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CLE08,
Rate Field,CWS,2025,left_line,330.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI12,Seamheads page name is Guarantee Rate Park.
Rate Field,CWS,2025,left_gap,377.0,8.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI12,Seamheads page name is Guarantee Rate Park.
Rate Field,CWS,2025,center,400.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI12,Seamheads page name is Guarantee Rate Park.
Rate Field,CWS,2025,right_gap,372.0,8.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI12,Seamheads page name is Guarantee Rate Park.
Rate Field,CWS,2025,right_line,335.0,8.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=CHI12,Seamheads page name is Guarantee Rate Park.
Rogers Centre,TOR,2025,left_line,328.0,14.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=TOR02,
Rogers Centre,TOR,2025,left_gap,381.0,11.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=TOR02,
Rogers Centre,TOR,2025,center,400.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=TOR02,
Rogers Centre,TOR,2025,right_gap,372.0,14.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=TOR02,
Rogers Centre,TOR,2025,right_line,328.0,12.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=TOR02,
Sutter Health Park,ATH,2026,left_line,330.0,8.0,LF_Dim,LF_Wall,direct_dimension_mapping_5zone,confirmed_public_dimension,yes,Baseball Savant Park Factors Dimensions; MLB.com Sutter Health Park guide,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?type=dimensions ; https://www.mlb.com/news/featured/sutter-health-park-guide-capacity-seating-chart-parking-and-more,"Sutter updated for HR detector: left_line 330/8, left_gap 386/8, center 403/13, right_gap 375/5, right_line 324/13. Center uses official CF 403 ft and 13 ft wall."
Sutter Health Park,ATH,2026,left_gap,386.0,8.0,LC_Dim,LC_Wall,direct_dimension_mapping_5zone,confirmed_public_dimension,yes,Baseball Savant Park Factors Dimensions; MLB.com Sutter Health Park guide,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?type=dimensions ; https://www.mlb.com/news/featured/sutter-health-park-guide-capacity-seating-chart-parking-and-more,"Sutter updated for HR detector: left_line 330/8, left_gap 386/8, center 403/13, right_gap 375/5, right_line 324/13. Center uses official CF 403 ft and 13 ft wall."
Sutter Health Park,ATH,2026,center,403.0,13.0,CF_Dim,CF_Wall,direct_dimension_mapping_5zone,confirmed_public_dimension,yes,Baseball Savant Park Factors Dimensions; MLB.com Sutter Health Park guide,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?type=dimensions ; https://www.mlb.com/news/featured/sutter-health-park-guide-capacity-seating-chart-parking-and-more,"Sutter updated for HR detector: left_line 330/8, left_gap 386/8, center 403/13, right_gap 375/5, right_line 324/13. Center uses official CF 403 ft and 13 ft wall."
Sutter Health Park,ATH,2026,right_gap,375.0,5.0,RC_Dim,RC_Wall,direct_dimension_mapping_5zone,confirmed_public_dimension,yes,Baseball Savant Park Factors Dimensions; MLB.com Sutter Health Park guide,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?type=dimensions ; https://www.mlb.com/news/featured/sutter-health-park-guide-capacity-seating-chart-parking-and-more,"Sutter updated for HR detector: left_line 330/8, left_gap 386/8, center 403/13, right_gap 375/5, right_line 324/13. Center uses official CF 403 ft and 13 ft wall."
Sutter Health Park,ATH,2026,right_line,324.0,13.0,RF_Dim,RF_Wall,direct_dimension_mapping_5zone,confirmed_public_dimension,yes,Baseball Savant Park Factors Dimensions; MLB.com Sutter Health Park guide,https://baseballsavant.mlb.com/leaderboard/statcast-park-factors?type=dimensions ; https://www.mlb.com/news/featured/sutter-health-park-guide-capacity-seating-chart-parking-and-more,"Sutter updated for HR detector: left_line 330/8, left_gap 386/8, center 403/13, right_gap 375/5, right_line 324/13. Center uses official CF 403 ft and 13 ft wall."
T-Mobile Park,SEA,2025,left_line,331.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=SEA03,
T-Mobile Park,SEA,2025,left_gap,378.0,8.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=SEA03,
T-Mobile Park,SEA,2025,center,401.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=SEA03,
T-Mobile Park,SEA,2025,right_gap,381.0,8.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=SEA03,
T-Mobile Park,SEA,2025,right_line,326.0,8.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=SEA03,
Target Field,MIN,2025,left_line,339.0,8.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIN04,
Target Field,MIN,2025,left_gap,384.0,8.0,LCF_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIN04,
Target Field,MIN,2025,center,404.0,8.0,CF_Dim,CF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIN04,
Target Field,MIN,2025,right_gap,378.0,23.0,RCF_Dim,RC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIN04,
Target Field,MIN,2025,right_line,328.0,23.0,RF_Dim,RF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=MIN04,
Tropicana Field,TB,2024,left_line,315.0,11.0,LF_Dim,LF_W,source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=STP01,Latest Seamheads configuration row is 2024; Rays returned to Tropicana Field for 2026.
Tropicana Field,TB,2024,left_gap,370.0,11.0,LFA_Dim,LC_W,direct_or_fallback_source_column,available,yes,Seamheads Ballparks Database,https://www.seamheads.com/ballparks/ballpark.php?parkID=STP01,Latest Seamheads configuration row is 2024; Rays returned to Tropicana Field for 2026.
